Question,Ans1,Ans2,Ans3,Ans4,Correct ans,Check/Radio
Which AWS service is used for creating and managing virtual private clouds?,Amazon VPC,Amazon EC2,Amazon S3,AWS Lambda,Amazon VPC,Radio
True or False: AWS provides a service for managing application performance called,,,,,,Radio
What is the function of AWS Elastic Load Balancing?,,,,,,Radio
Which AWS service is used for managing user identities and permissions?,AWS IAM,Amazon S3,Amazon EC2,AWS Lambda,AWS IAM,Radio
Fill in the blank: The AWS service that provides a fully managed data lake is called,,,,,,Radio
What is the primary benefit of using Amazon S3 for storage?,,,,,,Radio
Which AWS service is used for automating the deployment of applications?,AWS CodeDeploy,Amazon S3,Amazon EC2,AWS Lambda,AWS CodeDeploy,Radio
True or False: AWS provides a service for managing application secrets called AWS,,,,,,Radio
What is the purpose of AWS CloudFormation?,,,,,,Radio
Which AWS service is used for real-time data processing?,Amazon Kinesis,Amazon S3,Amazon RDS,AWS Lambda,Amazon Kinesis,Radio
What is the primary function of AWS CloudTrail?,,,,,,Radio
Fill in the blank: The AWS service that provides a fully managed search service is,,,,,,Radio
Which AWS service is used for managing application dependencies?,AWS CodeArtifact,Amazon S3,Amazon EC2,AWS Lambda,AWS CodeArtifact,Radio
True or False: AWS provides a service for data migration called AWS Database,,,,,,Radio
What is the primary benefit of using Amazon RDS?,,,,,,Radio
Which AWS service is used for creating and managing APIs?,Amazon API Gateway,Amazon EC2,AWS Lambda,Amazon S3,Amazon API Gateway,Radio
What is the function of AWS Systems Manager?,,,,,,Radio
Fill in the blank: The AWS service that provides a fully managed message queuing,,,,,,Radio
What is the purpose of AWS CodePipeline?,,,,,,Radio
Which AWS service is used for monitoring application performance?,Amazon CloudWatch,AWS CloudTrail,Amazon S3,AWS Config,Amazon CloudWatch,Radio
True or False: AWS provides a service for managing application configurations called,,,,,,Radio
What is the primary function of AWS Batch?,,,,,,Radio
Correct Answer: To run batch computing workloads on AWS.,,,,,,Radio
Which AWS service is used for managing application logs?,Amazon CloudWatch Logs,Amazon S3,AWS Lambda,Amazon RDS,Amazon CloudWatch Logs,Radio
What is the purpose of AWS AppSync?,,,,,,Radio
Correct Answer: To build data-driven applications with real-time updates.,,,,,,Radio
Which AWS service is used for managing and deploying serverless applications?,AWS Lambda,Amazon EC2,Amazon RDS,Amazon S3,AWS Lambda,Radio
What is the primary benefit of using Amazon EFS?,,,,,,Radio
Which AWS service is used for managing application secrets?,AWS Secrets Manager,Amazon S3,Amazon EC2,AWS Lambda,AWS Secrets Manager,Radio
Fill in the blank: The AWS service that provides a fully managed data warehouse is,,,,,,Radio
What is the primary function of AWS Glue?,,,,,,Radio
Which AWS service is used for managing application performance?,Amazon CloudWatch,AWS CloudTrail,Amazon S3,AWS Config,Amazon CloudWatch,Radio
True or False: AWS provides a service for managing application performance called,,,,,,Radio
What is the purpose of AWS Service Catalog?,,,,,,Radio
Which AWS service is used for managing user identities and permissions?,AWS IAM,Amazon S3,Amazon EC2,AWS Lambda,AWS IAM,Radio
What is the primary benefit of using Amazon S3 for storage?,,,,,,Radio
Which AWS service is used for automating the deployment of applications?,AWS CodeDeploy,Amazon S3,Amazon EC2,AWS Lambda,AWS CodeDeploy,Radio
What is the function of AWS Elastic Load Balancing?,,,,,,Radio
Fill in the blank: The AWS service that provides a fully managed data lake is called,,,,,,Radio
What is the primary purpose of AWS Organizations?,,,,,,Radio
Which AWS service is used for creating and managing virtual private clouds?,Amazon VPC,Amazon EC2,Amazon S3,AWS Lambda,Amazon VPC,Radio
True or False: AWS provides a service for managing application performance called,,,,,,Radio
What is the function of AWS Elastic Load Balancing?,,,,,,Radio
Which AWS service is used for managing user identities and permissions?,AWS IAM,Amazon S3,Amazon EC2,AWS Lambda,AWS IAM,Radio
Fill in the blank: The AWS service that provides a fully managed data lake is called,,,,,,Radio
What is the primary benefit of using Amazon S3 for storage?,,,,,,Radio
Which AWS service is used for automating the deployment of applications?,AWS CodeDeploy,Amazon S3,Amazon EC2,AWS Lambda,AWS CodeDeploy,Radio
True or False: AWS provides a service for managing application secrets called AWS,,,,,,Radio
What is the purpose of AWS CloudFormation?,,,,,,Radio
Which AWS service is used for real-time data processing?,Amazon Kinesis,Amazon S3,Amazon RDS,AWS Lambda,Amazon Kinesis,Radio
What is the primary function of AWS CloudTrail?,,,,,,Radio
Fill in the blank: The AWS service that provides a fully managed search service is,,,,,,Radio
Which AWS service is used for managing application dependencies?,AWS CodeArtifact,Amazon S3,Amazon EC2,AWS Lambda,AWS CodeArtifact,Radio
True or False: AWS provides a service for data migration called AWS Database,,,,,,Radio
What is the primary benefit of using Amazon RDS?,,,,,,Radio
